name,kills
TonnelTonkla,4
100gnoo,29
chanmeme1,47
5xmars,89
Luqman_indo,32

Dawnftb,51
Oscarchoyzy24,72
spikey_001,46
jamesplayztv1,0
Mitsubira_Aratoshi,67
anathaliakdc,45
jgwen19,56
FrailBailen,52
mrflipsflapz,52
HarArkhichen,30
SeaV1per1224,52
O56IsHere,29
jiajun129,47
zoommine0423,22
polkomgyy44,44
kite_167,22
nickthegodrider1289,42
commander_cookie1234,29
HAPPY27259,73
AERBUTE1,41
Gariksz,53
chanmeme1,53


spikey_001,53
jamesplayztv1,46
Kazuyuki_Owen,61
SireHalo,23
polkomgyy44,48
raka6792,20
mrflipsflapz,49
anathaliakdc,27
jgwen19,54
pancake_w1,40
dsastetmfvm,71
Mitsubira_Aratoshi,80
eiltene123,49
jiajun129,44
Oscarchoyzy24,81
NovaGlyp,52
Liklyboos221,57
jesterproandnoob,39
HAPPY27259,65
Gariksz,53
Xernicus,38
Not_short5151,5
nickthegodrider1289,44
commander_cookie1234,41
kite_167,25
Dawnftb,34
chanmeme1,43

spikey_001,53
jamesplayztv1,46
Kazuyuki_Owen,61
SireHalo,23
polkomgyy44,48
raka6792,20
mrflipsflapz,49
anathaliakdc,27
jgwen19,54
pancake_w1,40
dsastetmfvm,71
Mitsubira_Aratoshi,80
eiltene123,49
jiajun129,44
Oscarchoyzy24,81
NovaGlyp,52
Liklyboos221,57
jesterproandnoob,39
HAPPY27259,65
Gariksz,53
Xernicus,38
Not_short5151,5
nickthegodrider1289,44
commander_cookie1234,41
kite_167,25
Dawnftb,34
chanmeme1,43

SeaV1per1224,67
GeorgeDroidMaxngFent,82
AERBUTE1,72
Mitsubira_Aratoshi,77
gtmsgamerG,28
jiajun129,51
Croezg,37
kite_167,35
FrailBailen,56
polkomgyy44,50
nickthegodrider1289,44
Gariksz,70
Nero_Kauko,12
wninju,30
anathaliakdc,30
Dawnftb,24
jamesplayztv1,54
commander_cookie1234,43
jesterproandnoob,48
Indonesia_ofMalaysia,47
kurtdylan1111,37
Oscarchoyzy24,89
Liklyboos221,71
chanmeme1,47
TomMiaorblx,16
CharIotteReis,89


Dawnftb,34
pancake_w1,44
SomeRandomBucketName,82
jesterproandnoob,57
jamesplayztv1,56
raka6792,34
Liklyboos221,69
Kazuyuki_Owen,59
nickthegodrider1289,49
hanker583,1
jiajun129,26
TomMiaorblx,39
gtmsgamerG,43
buddyboil1,79
jellyy112345,46
commander_cookie1234,42
Luqman_indo,34
kite_167,40
Oscarchoyzy24,72
anathaliakdc,30
spartansudais14,25
XxGusiolxX,49
aryafariziii160,35
eiltene123,54
ckpoa20,38
chanmeme1,53

Dawnftb,15
ManfaceGod_q,10
DRDanger46,35
keyfirealt,15
Lord_Emerald1,17
farishmueid,21
Luqman_indo,19
Mitsubira_Aratoshi,28
nickthegodrider1289,41
kea44448,4
PaintVictores,24
AMIRSPARSALAR,13
CommanderHikari,28
Cogus_0828,22
Idea,14
phangkaijiun,31

polkomgyy44,57
commander_cookie1234,10
aphexic,71
Croezg,23
Mitsubira_Aratoshi,63
spikey_001,46
burnfield1k22,61
kite_167,17
Oscarchoyzy24,88
Zweihvnders,73
Kazuyuki_Owen,44
SeaV1per1224,56
eiltene123,41
mrflipsflapz,49
diwdwoa,49
Liklyboos221,63
jamesplayztv1,52
SomeRandomBucketName,60
gtmsgamerG,24
HarArkhichen,63
buddyboil1,72
chickenkampong,30
Dawnftb,26
darkenians,52
pancake_w1,26
nickthegodrider1289,54
jesterproandnoob,53
Haloinqsss,48
WazibaXD,53
HoundVonSurrey,58

Oscarchoyzy24,17
Kazuyuki_Owen,51
Indonesia_ofMalaysia,45
jgwen19,49
Croezg,46
chanmeme1,36
jesterproandnoob,50
mrflipsflapz,53
SeaV1per1224,59
Luqman_indo,46
Dawnftb,26
AERBUTE1,47
camper8903,57
ConesOdebrecht,84
CommanderHikari,37
aryafariziii160,33
hotdoges142,25
ckpoa20,45
Liklyboos221,68
Shadow_bringer200,27
kite_167,27
IceBlox_Officical,17
spikey_001,45
Zweihvnders,84
pancake_w1,31
Gariksz,65
Cx_vt,32
nickthegodrider1289,44
raka6792,29
Jok_jok1234,51
commander_cookie1234,39
Lord_Emerald1,19

Dawnftb,38
jamesplayztv1,2
Luqman_indo,37
Croezg,45
Cogus_0828,37
GGXDArusha,40
Oscarchoyzy24,82
spikey_001,53
anathaliakdc,38
star_dustriver,59
Haloinqsss,24
nickthegodrider1289,57
CommanderHikari,33
UnknownWarrior144,12
Cx_vt,42
jiajun129,38
ER_CHANGED,36
aryafariziii160,41
Sunfull1,31
Lord_Emerald1,26
jgwen19,53
Nero_Kauko,18
camper8903,69
Ferrum26_8,11
Indonesia_ofMalaysia,57
O56IsHere,1

chanmeme1,69
Zweihvnders,92
pancake_w1,50
Cx_vt,41
aryafariziii160,56
kite_167,44
raka6792,41
camper8903,64
kurtdylan1111,42
CommanderHikari,45
nickthegodrider1289,58
anathaliakdc,45
gtmsgamerG,78
Dawnftb,43
jellyy112345,58
spikey_001,58
commander_cookie1234,45
polkomgyy44,71
Croezg,37
ConesOdebrecht,86
MarioUlici200702,45
Nero_Kauko,37
Liklyboos221,61
Chanseoni,55
Kazuyuki_Owen,51
ckpoa20,41
wninju,49
mrflipsflapz,61
PeterPlayZYoutube,20
Luqman_indo,45
GRADE4092,54
Oscarchoyzy24,22

chickenkampong,55
Chloemay2930,18
ckpoa20,47
SeaV1per1224,70
spikey_001,45
gtmsgamerG,40
Croezg,42
pancake_w1,37
nickthegodrider1289,57
Luqman_indo,40
anathaliakdc,35
polkomgyy44,64
SomeRandomBucketName,77
Kazuyuki_Owen,69
Liklyboos221,56
BigBoiTrades96,81
Cx_vt,44
Haloinqsss,57
commander_cookie1234,34
kite_167,48
Oscarchoyzy24,94
jellyy112345,45
aryafariziii160,32
GGXDArusha,48
poopoo19396,30
camper8903,54
mrflipsflapz,48
raka6792,25
NothenInvicta,73
wninju,51
jgwen19,48
Dawnftb,27
shield_4545,19
ckpoa20,38
DRDanger46,59
Kazuyuki_Owen,70
Luqman_indo,21
aphexic,85
jamesplayztv1,56
MarioUlici200702,28
Skyler_Sentinal,53
SeaV1per1224,88
chanmeme1,63
chickenkampong,29
mrflipsflapz,51
pancake_w1,36
Scornful_X,58
jgwen19,65
polkomgyy44,67
Dawnftb,37
jellyy112345,35
aryafariziii160,57
nickthegodrider1289,68
jesterproandnoob,63
ConesOdebrecht,102
Oscarchoyzy24,95
Liklyboos221,78
HoundVonSurrey,68
Zweihvnders,96
David_Theusless,22
Cx_vt,50
CommanderHikari,36
SANS00_SIXX,57
Indonesia_ofMalaysia,49

polkomgyy44,60
Dawnftb,25
star_dustriver,61
spikey_001,53
Zweihvnders,88
lnconvenience1,21
pancake_w1,41
Luqman_indo,33
Liklyboos221,57
chickenkampong,35
Indonesia_ofMalaysia,56
Cogus_0828,35
Xernicus,50
Cx_vt,44
aryafariziii160,55
rttt_1234567,40
5xmars,77
nickthegodrider1289,54
jesterproandnoob,55
Oscarchoyzy24,31
raka6792,38
Scornful_X,48
commander_cookie1234,22
kite_167,38
David_Theusless,35
anathaliakdc,51
Dawnftb,48
Kazuyuki_Owen,69
commander_cookie1234,50
ViktorInvicta,42
jamesplayztv1,6
aryafariziii160,56
polkomgyy44,53
MarioUlici200702,59
Haloinqsss,51
David_Theusless,31
Cogus_0828,48
rttt_1234567,54
TonnelTonkla,5
Liklyboos221,73
chanmeme1,61
PixelMangos,31
Gariksz,85
mahoney134,85
jesterproandnoob,70
CommanderHikari,51
5xmars,90
Oscarchoyzy24,101
kite_167,50
Sunfull1,37
Indonesia_ofMalaysia,55
raka6792,44
nickthegodrider1289,53


David_Theusless,41
raka6792,38
kite_167,53
camper8903,61
GGXDArusha,51
commander_cookie1234,39
Indonesia_ofMalaysia,49
